wr_id,date_requested,prob_type,date_completed,bl_id
0,2018-10-17 05:45:27.247,NULL,,NULL
58101,2016-01-04 00:00:00.000,ROOF                            ,2017-04-09 00:00:00.000,B02044  
58106,2016-01-04 00:00:00.000,PREVENTIVE MAINT                ,2016-05-18 00:00:00.000,B00063  
58127,2016-01-04 00:00:00.000,OVERHDDOOR                      ,2016-01-28 00:00:00.000,B04019  
58130,2016-01-04 00:00:00.000,OVERHDDOOR                      ,2016-01-13 00:00:00.000,B04006  
58131,2016-01-04 00:00:00.000,OVERHDDOOR                      ,2016-01-13 00:00:00.000,B04027  
58134,2016-01-04 00:00:00.000,OVERHDDOOR                      ,2016-01-15 00:00:00.000,B04004  
58139,2016-01-04 00:00:00.000,ELEC/SECURITY                   ,2016-05-18 00:00:00.000,B04011  
58148,2016-01-05 00:00:00.000,DOOR                            ,2016-01-15 00:00:00.000,B00050  
58151,2016-01-05 00:00:00.000,OTHER                           ,2016-05-18 00:00:00.000,B00122  
58160,2016-01-05 00:00:00.000,OVERHDDOOR                      ,2016-01-13 00:00:00.000,B06043  
58165,2016-01-05 00:00:00.000,ELEC/SECURITY                   ,2017-04-09 00:00:00.000,B00023  
58166,2016-01-05 00:00:00.000,ELEC/SECURITY                   ,2017-02-14 00:00:00.000,B00025  
58167,2016-01-05 00:00:00.000,ELEC/SECURITY                   ,2017-04-09 00:00:00.000,B00026  
58168,2016-01-05 00:00:00.000,ELEC/SECURITY                   ,2017-02-14 00:00:00.000,B00027  
58171,2016-01-05 00:00:00.000,PLUMB/OTHER                     ,,B00060  
58174,2016-01-05 00:00:00.000,ELEC/SECURITY                   ,2017-03-24 00:00:00.000,B00028  
58178,2016-01-05 00:00:00.000,ELEC/SECURITY                   ,2017-02-14 00:00:00.000,B00029  
58181,2016-01-05 00:00:00.000,ELEC/SECURITY                   ,,B00030  
58200,2016-01-05 00:00:00.000,FLOOR                           ,,B00057  
58225,2016-01-05 00:00:00.000,FLOOR                           ,2016-06-14 00:00:00.000,B04005  
58253,2016-01-06 00:00:00.000,SERV/SECURITY                   ,2016-06-05 00:00:00.000,B00057  
58296,2016-01-07 00:00:00.000,ELEC/SECURITY                   ,2016-05-07 00:00:00.000,B00182  
58318,2016-01-07 00:00:00.000,SERV/SECURITY                   ,2017-04-05 00:00:00.000,B00035  
58333,2016-01-07 00:00:00.000,SERV/SECURITY                   ,2016-05-07 00:00:00.000,B00051  
58363,2016-01-08 00:00:00.000,OTHER                           ,2016-06-05 00:00:00.000,B07020  
58386,2016-01-08 00:00:00.000,FLOOR                           ,2016-02-26 00:00:00.000,B00021  
58389,2016-01-08 00:00:00.000,OVERHDDOOR                      ,2016-01-14 00:00:00.000,B04010  
58390,2016-01-08 00:00:00.000,OVERHDDOOR                      ,2016-01-14 00:00:00.000,B04021  
58423,2016-01-08 00:00:00.000,OVERHDDOOR                      ,2016-01-15 00:00:00.000,B04011  
58453,2016-01-11 00:00:00.000,ELEC/OTHER                      ,2016-06-05 00:00:00.000,NULL
58480,2016-01-11 00:00:00.000,OVERHDDOOR                      ,2016-01-15 00:00:00.000,B04024  
58484,2016-01-11 00:00:00.000,WINDOW                          ,2016-03-10 00:00:00.000,B00057  
58485,2016-01-11 00:00:00.000,OVERHDDOOR                      ,2016-01-14 00:00:00.000,B04022  
58512,2016-01-12 00:00:00.000,OTHER                           ,2016-06-20 00:00:00.000,B00182  
58518,2016-01-12 00:00:00.000,OTHER                           ,2016-06-20 00:00:00.000,B00020  
58519,2016-01-12 00:00:00.000,OTHER                           ,2016-06-20 00:00:00.000,B06047  
58530,2016-01-12 00:00:00.000,OVERHDDOOR                      ,2016-02-08 00:00:00.000,B04025  
58536,2016-01-12 00:00:00.000,FLOOR                           ,2016-04-25 00:00:00.000,B00057  
59527,2016-01-13 00:00:00.000,ELEC/LIGHT                      ,2016-01-13 00:00:00.000,B00058  
59536,2016-01-13 00:00:00.000,DOOR                            ,,B00031  
59568,2016-01-13 00:00:00.000,DOOR                            ,2016-07-15 00:00:00.000,B06071  
59576,2016-01-13 00:00:00.000,OTHER                           ,2016-06-20 00:00:00.000,NULL
59577,2016-01-13 00:00:00.000,OTHER                           ,2016-07-04 00:00:00.000,NULL
59578,2016-01-13 00:00:00.000,OVERHDDOOR                      ,2016-01-15 00:00:00.000,B04025  
59585,2016-01-13 00:00:00.000,RAILSTAIRSRAMP                  ,2016-05-04 00:00:00.000,B04039  
59591,2016-01-14 00:00:00.000,WINDOW                          ,2016-02-22 00:00:00.000,B06047  
59597,2016-01-14 00:00:00.000,_COMPLAINT                      ,2016-01-14 00:00:00.000,B00051  
59624,2016-01-14 00:00:00.000,_COMPLAINT                      ,2016-01-14 00:00:00.000,B00051  
59648,2016-01-14 00:00:00.000,OVERHDDOOR                      ,2016-01-28 00:00:00.000,B06043  
59671,2016-01-14 00:00:00.000,OTHER                           ,2016-04-25 00:00:00.000,B00165  
59673,2016-01-14 00:00:00.000,OVERHDDOOR                      ,2016-01-20 00:00:00.000,B04023  
59724,2016-01-15 00:00:00.000,OTHER                           ,2016-12-01 00:00:00.000,B00058  
59779,2016-01-19 00:00:00.000,OVERHDDOOR                      ,2016-01-20 00:00:00.000,B04022  
59780,2016-01-19 00:00:00.000,OVERHDDOOR                      ,2016-01-28 00:00:00.000,B04020  
59781,2016-01-19 00:00:00.000,OVERHDDOOR                      ,2016-01-28 00:00:00.000,B04029  
59848,2016-01-20 00:00:00.000,CARPENTRY                       ,2016-09-26 00:00:00.000,B06089  
59851,2016-01-20 00:00:00.000,OVERHDDOOR                      ,2016-02-08 00:00:00.000,B04024  
59852,2016-01-20 00:00:00.000,OVERHDDOOR                      ,2016-01-28 00:00:00.000,B04014  
59885,2016-01-21 00:00:00.000,_COMPLAINT                      ,,B06040  
59914,2016-01-21 00:00:00.000,OVERHDDOOR                      ,2016-01-28 00:00:00.000,B04015  
59915,2016-01-21 00:00:00.000,OTHER                           ,,B00102  
59926,2016-01-21 00:00:00.000,OVERHDDOOR                      ,2016-01-28 00:00:00.000,B04048  
60005,2016-01-26 00:00:00.000,PLUMB/LEAK                      ,2016-07-25 00:00:00.000,B00140  
60025,2016-01-26 00:00:00.000,OVERHDDOOR                      ,2016-01-28 00:00:00.000,B04023  
60026,2016-01-26 00:00:00.000,OVERHDDOOR                      ,2016-01-28 00:00:00.000,B04037  
60094,2016-01-27 00:00:00.000,OVERHDDOOR                      ,2016-01-28 00:00:00.000,B04021  
60102,2016-01-28 00:00:00.000,OVERHDDOOR                      ,2016-03-21 00:00:00.000,B06043  
60106,2016-01-28 00:00:00.000,DOOR                            ,,B08003  
60204,2016-01-29 00:00:00.000,OVERHDDOOR                      ,2016-02-08 00:00:00.000,B04007  
60206,2016-01-29 00:00:00.000,OVERHDDOOR                      ,2016-02-22 00:00:00.000,B04010  
60216,2016-01-29 00:00:00.000,FENCE_GATE                      ,2016-08-08 00:00:00.000,B04039  
60227,2016-02-01 00:00:00.000,OVERHDDOOR                      ,2016-09-21 00:00:00.000,B00140  
60274,2016-02-01 00:00:00.000,OVERHDDOOR                      ,2016-02-08 00:00:00.000,B06043  
60441,2016-02-04 00:00:00.000,HVAC                            ,,B00048  
60490,2016-02-04 00:00:00.000,FLOOR                           ,,B00120  
60560,2016-02-05 00:00:00.000,WINDOW                          ,2016-03-28 00:00:00.000,B06064  
60582,2016-02-08 00:00:00.000,OVERHDDOOR                      ,2016-03-10 00:00:00.000,B00005  
60583,2016-02-08 00:00:00.000,OVERHDDOOR                      ,2016-07-13 00:00:00.000,B00020  
60594,2016-02-08 00:00:00.000,OVERHDDOOR                      ,2016-02-16 00:00:00.000,B06038  
60639,2016-02-08 00:00:00.000,OVERHDDOOR                      ,2016-02-16 00:00:00.000,B04025  
60641,2016-02-08 00:00:00.000,OVERHDDOOR                      ,2016-03-21 00:00:00.000,B04011  
60751,2016-02-10 00:00:00.000,SECURITY SYSTEMS-CAMERA         ,2016-05-07 00:00:00.000,B04018  
